Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ExperienceLevel,SalaryCategory,AgeGroup
35,0,2,662,2,1,5,2,204,3,1,94,3,3,7,2,1,7295,11439,1,0,13,3,1,2,10,3,3,10,8,0,6,3,0,1
32,0,1,967,2,8,3,2,207,2,0,43,3,3,7,4,2,8998,15589,1,0,14,3,4,0,9,2,3,9,8,3,7,3,0,1
29,0,0,1496,1,1,1,5,208,4,1,41,3,2,4,3,1,4319,26283,1,0,13,3,1,1,10,1,3,10,7,0,9,3,2,1
51,0,2,1169,1,7,4,3,211,2,1,34,2,2,4,3,1,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0,1,2,3
40,0,2,630,2,4,4,2,215,3,1,67,2,3,7,4,1,10855,8552,7,0,11,3,1,1,15,2,2,12,11,2,11,0,0,2
34,0,1,303,2,2,4,2,216,3,0,75,3,1,8,3,1,2231,11314,6,0,18,3,4,1,6,3,3,4,3,1,2,2,1,1
27,0,0,691,1,9,3,3,218,4,1,57,3,1,6,2,0,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2,1,1,1
28,0,2,440,1,21,3,3,221,3,1,42,3,1,6,4,1,2713,6672,1,0,11,3,3,1,5,2,1,5,2,0,2,2,1,1
57,0,2,334,1,24,2,1,223,3,1,83,4,3,0,4,0,9439,23402,3,1,16,3,2,1,12,2,1,5,3,1,4,2,0,3
27,0,0,1450,1,3,3,3,224,3,1,79,2,1,6,3,0,2566,25326,1,1,15,3,4,1,1,2,2,1,1,0,1,1,1,1
41,0,2,465,1,14,3,1,227,1,1,56,3,1,6,3,0,2451,4609,4,0,12,3,1,1,13,2,3,9,8,1,8,3,1,2
27,0,2,1157,1,17,3,5,233,3,1,51,3,1,6,2,1,3058,13364,0,1,16,3,4,1,6,3,2,5,2,1,1,2,1,1
45,0,2,1268,2,4,2,1,240,3,0,30,3,2,7,1,0,5006,6319,4,1,11,3,1,1,9,3,4,5,4,0,3,2,2,2
56,0,2,713,1,8,3,1,241,3,0,67,3,1,6,1,0,4257,13939,4,1,18,3,3,1,19,3,3,2,2,2,2,1,2,3
33,0,2,134,1,2,3,1,242,3,1,90,3,1,6,4,2,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2,2,1,1
38,0,2,1380,1,9,2,1,245,3,0,75,3,1,2,4,2,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,1,1,2
34,0,2,629,1,27,2,3,247,4,0,95,3,1,6,2,2,2311,5711,2,0,15,3,4,0,9,3,3,3,2,1,2,2,1,1
50,0,2,328,1,1,3,3,249,3,1,86,2,1,2,3,1,3690,3425,2,0,15,3,4,1,5,2,2,3,2,0,2,2,2,3
53,0,2,1084,1,13,2,3,250,4,0,57,4,2,4,1,0,4450,26250,1,0,11,3,3,2,5,3,3,4,2,1,3,2,2,3
34,0,1,1069,1,2,1,1,256,4,1,45,2,2,4,3,1,9547,14074,1,0,17,3,3,0,10,2,2,10,9,1,9,3,0,1
27,0,2,894,1,9,3,3,260,4,0,99,3,1,6,2,2,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,3,1,1
35,1,2,556,1,23,2,1,261,2,1,50,2,2,4,3,1,5916,15497,3,1,13,3,1,0,8,1,3,1,0,0,1,1,2,1
37,0,2,290,1,21,3,1,267,2,1,65,4,1,6,1,1,3564,22977,1,1,12,3,1,1,8,3,2,8,7,1,7,3,1,2
38,0,2,1084,1,29,3,5,273,4,1,54,3,2,4,4,1,6261,4185,3,0,18,3,1,1,9,3,1,7,7,1,7,3,2,2
27,0,1,472,1,1,1,5,274,3,1,60,2,2,4,1,1,4298,9679,5,0,19,3,3,1,6,1,3,2,2,2,0,1,2,1
34,0,1,878,1,10,4,3,277,4,1,43,3,1,6,3,0,3815,5972,1,1,17,3,4,1,5,4,4,5,3,2,0,2,2,1
40,0,2,905,1,19,2,3,281,3,1,99,3,2,2,4,1,2741,16523,8,1,15,3,3,1,15,2,4,7,2,3,7,3,1,2
38,1,2,1180,1,29,1,3,282,2,1,70,3,2,0,1,1,6673,11354,7,1,19,3,2,0,17,2,3,1,0,0,0,1,0,2
22,0,2,1136,1,5,3,1,284,4,1,60,4,1,6,2,0,2328,12392,1,1,16,3,1,1,4,2,2,4,2,2,2,2,1,0
36,0,1,635,1,18,1,3,286,2,0,73,3,1,2,4,2,2153,7703,1,0,13,3,1,0,8,2,3,8,1,1,7,3,1,2
46,0,2,644,1,1,4,3,288,4,1,97,3,3,0,1,0,9396,12368,7,0,16,3,3,1,17,3,3,4,2,0,3,2,0,3
27,0,1,1242,2,20,3,1,293,4,0,90,3,2,7,3,2,9981,12916,1,0,14,3,4,0,7,2,3,7,7,0,7,3,0,1
41,0,2,896,2,6,3,1,298,4,0,75,3,3,3,4,2,13591,14674,3,1,18,3,3,0,16,3,3,1,0,0,0,1,0,2
29,1,2,992,1,1,3,5,300,3,1,85,3,1,6,3,2,2058,19757,0,0,14,3,4,0,7,1,2,6,2,1,5,3,1,1
54,0,2,1147,2,3,3,2,303,4,0,52,3,2,7,1,1,5940,17011,2,0,14,3,4,1,16,4,3,6,2,0,5,3,2,3
36,0,2,1396,1,5,2,1,304,4,1,62,3,2,2,2,2,5914,9945,8,0,16,3,4,0,16,3,4,13,11,3,7,0,2,2
31,0,0,979,1,1,4,3,308,3,1,90,1,2,4,3,1,4345,4381,0,0,12,3,4,1,6,2,3,5,4,1,4,2,2,1
37,0,1,319,2,4,4,2,311,1,1,41,3,1,8,4,0,2793,2539,4,0,17,3,3,1,13,2,3,9,8,5,8,3,1,2
35,0,1,944,2,1,3,2,314,3,0,92,3,3,7,3,2,8789,9096,1,0,14,3,1,0,10,3,4,10,7,0,8,3,0,1
29,1,2,896,1,18,1,3,315,3,1,86,2,1,6,4,2,2389,14961,1,1,13,3,3,0,4,3,2,4,3,0,1,2,1,1
52,0,2,1323,1,2,3,1,316,3,0,89,2,1,2,4,2,3212,3300,7,0,15,3,2,0,6,3,2,2,2,2,2,1,1,3
59,0,2,818,0,6,2,3,321,2,1,52,3,1,1,3,1,2267,25657,8,0,17,3,4,0,7,2,2,2,2,2,2,1,1,3
33,1,2,813,1,14,3,3,325,3,1,58,3,1,2,4,1,2436,22149,5,1,13,3,3,1,8,2,1,5,4,0,4,2,1,1
32,1,2,515,1,1,3,1,331,4,1,62,2,1,2,3,2,3730,9571,0,1,14,3,4,0,4,2,1,3,2,1,2,2,2,1
32,0,0,976,2,26,4,2,333,3,1,100,3,2,7,4,1,4465,12069,0,0,18,3,1,0,4,2,3,3,2,2,2,2,2,1
41,0,2,1411,1,19,2,1,334,3,1,36,3,2,6,1,0,3072,19877,2,0,16,3,1,2,17,2,2,1,0,0,0,1,1,2
40,0,2,1300,1,24,2,5,335,1,1,62,3,2,6,4,0,3319,24447,1,0,17,3,1,2,9,3,3,9,8,4,7,3,1,2
33,0,2,832,1,5,4,1,338,3,0,63,2,1,6,4,1,2911,14776,1,0,13,3,3,1,2,2,2,2,2,0,2,1,1,1
34,0,2,470,1,2,4,1,339,4,1,84,2,2,4,1,1,5957,23687,6,0,13,3,2,1,13,3,3,11,9,5,9,0,2,1
37,0,2,1017,1,1,2,3,340,3,0,83,2,1,6,1,1,3920,18697,2,0,14,3,1,1,17,2,2,3,1,0,2,2,2,2
45,0,1,1199,1,7,4,1,341,1,1,77,4,2,4,3,1,6434,5118,4,0,17,3,4,1,9,1,3,3,2,0,2,2,2,2
29,0,2,665,1,15,3,1,346,3,1,60,3,1,6,4,2,2340,22673,1,0,19,3,1,0,6,1,3,6,5,1,5,3,1,1
42,0,2,916,1,17,2,1,347,4,0,82,4,2,6,1,2,6545,23016,3,1,13,3,3,0,10,1,3,3,2,0,2,2,0,2
29,0,2,1247,2,20,2,2,349,4,1,45,3,2,7,4,0,6931,10732,2,0,14,3,4,1,10,2,3,3,2,0,2,2,0,1
25,0,2,685,1,1,3,1,350,1,0,62,3,2,4,3,1,4898,7505,0,0,12,3,4,2,5,3,3,4,2,1,2,2,2,0
31,1,1,307,1,29,2,3,355,3,1,71,2,1,2,2,2,3479,11652,0,0,11,3,2,0,6,2,4,5,4,1,4,2,1,1
29,0,2,1210,2,2,3,3,366,1,1,78,2,2,7,2,1,6644,3687,2,0,19,3,2,2,10,2,3,0,0,0,0,1,0,1
25,0,0,675,1,5,2,1,369,2,1,85,4,2,0,1,0,4000,18384,1,0,12,3,4,2,6,2,3,6,3,1,5,3,2,0
21,0,2,996,1,3,2,3,379,4,1,100,2,1,6,3,2,3230,10531,1,0,17,3,1,0,3,4,4,3,2,1,0,2,1,0
37,0,0,728,1,1,4,3,380,1,0,80,3,3,5,4,0,13603,11677,2,1,18,3,1,2,15,2,3,5,2,0,2,2,0,2
29,0,1,442,2,2,2,1,388,2,1,44,3,2,7,4,2,4554,20260,1,0,18,3,1,0,10,3,2,10,7,0,9,3,2,1
55,0,2,147,1,20,2,5,389,2,1,37,3,2,2,4,1,5415,15972,3,1,19,3,4,1,12,4,3,10,7,0,8,3,2,3
26,0,1,496,1,11,2,3,390,1,1,60,3,2,0,1,1,4741,22722,1,1,13,3,3,1,5,3,3,5,3,3,3,2,2,1
37,0,2,1372,1,1,3,1,391,4,0,42,3,1,6,4,2,2115,15881,1,0,12,3,2,0,17,3,3,17,12,5,7,0,1,2
26,1,2,1449,1,16,4,3,394,1,1,45,3,1,2,2,0,2373,14180,2,1,13,3,4,1,5,2,3,3,2,0,2,2,1,1
18,1,2,230,1,3,3,1,405,3,1,54,3,1,2,3,2,1420,25233,1,0,13,3,3,0,0,2,3,0,0,0,0,1,1,0
36,0,1,566,1,18,4,1,407,3,1,81,4,1,2,4,1,3688,7122,4,0,18,3,4,2,4,2,3,1,0,0,0,1,2,2
51,0,2,1302,1,2,3,3,408,4,1,84,1,2,4,2,0,5482,16321,5,0,18,3,4,1,13,3,3,4,1,1,2,2,2,3
18,0,2,812,2,10,3,3,411,4,0,69,2,1,8,3,2,1200,9724,1,0,12,3,1,0,0,2,3,0,0,0,0,1,1,0
28,0,2,1476,1,16,2,3,412,2,1,68,4,2,0,1,2,5661,4824,0,0,19,3,3,0,9,2,3,8,3,0,7,3,2,1
36,0,0,1105,1,24,4,1,419,2,0,47,3,2,2,2,1,5674,6927,7,0,15,3,3,1,11,3,3,9,8,0,8,3,2,2
32,0,2,906,2,7,3,1,420,4,1,91,2,2,7,3,1,5484,16985,1,0,14,3,3,1,13,3,2,13,8,4,8,0,2,1
38,0,2,849,1,25,2,1,421,1,0,81,2,3,5,2,1,12061,26707,3,0,17,3,3,1,19,2,3,10,8,0,1,3,0,2
58,0,0,390,1,1,4,1,422,4,1,32,1,2,0,3,0,5660,17056,2,1,13,3,4,1,12,2,3,5,3,1,2,2,2,3
31,0,2,691,1,5,4,5,423,3,1,86,3,1,6,4,1,4821,10077,0,1,12,3,3,1,6,4,3,5,2,0,3,2,2,1
31,0,2,106,0,2,3,0,424,1,1,62,2,2,1,1,1,6410,17822,3,0,12,3,4,0,9,1,3,2,2,1,0,1,2,1
31,0,2,192,1,2,4,1,426,3,1,32,3,1,6,4,0,2695,7747,0,1,18,3,2,1,3,2,1,2,2,2,2,1,1,1
27,0,2,1220,1,5,3,1,434,3,0,85,3,1,6,2,2,2478,20938,1,1,12,3,2,0,4,2,2,4,3,1,2,2,1,1
27,0,2,1377,2,2,3,1,437,4,1,74,3,2,7,3,2,4478,5242,1,1,11,3,1,0,5,3,3,5,4,0,4,2,2,1
28,1,2,1157,1,2,4,3,440,1,1,84,1,1,6,4,1,3464,24737,5,1,13,3,4,0,5,4,2,3,2,2,2,2,1,1
30,0,2,1275,1,28,2,3,441,4,0,64,3,2,6,4,1,5775,11934,1,0,13,3,4,2,11,2,3,10,8,1,9,3,2,1
39,1,2,1162,2,3,2,3,445,4,0,41,3,2,7,3,1,5238,17778,4,1,18,3,1,0,12,3,2,1,0,0,0,1,2,2
43,0,1,559,1,10,4,1,448,3,0,82,2,2,2,3,0,5257,6227,1,0,11,3,2,1,9,3,4,9,7,0,0,3,2,2
54,0,1,928,1,20,4,1,450,4,0,31,3,2,6,3,2,4869,16885,3,0,12,3,4,0,20,4,2,4,3,0,3,2,2,3
43,0,2,1001,1,7,3,1,451,3,0,43,3,3,0,1,1,9985,9262,8,0,16,3,1,1,10,1,2,1,0,0,0,1,0,2
29,1,2,318,1,8,4,4,454,2,1,77,1,1,2,1,1,2119,4759,1,1,11,3,4,0,7,4,2,7,7,0,7,3,1,1
29,0,2,738,1,9,5,4,455,2,1,30,2,1,2,4,2,3983,7621,0,0,17,3,3,0,4,2,3,3,2,2,2,2,2,1
27,0,2,1130,2,8,4,2,458,2,0,56,3,2,7,2,1,6214,3415,1,0,18,3,1,1,8,3,3,8,7,0,7,3,2,1
37,0,2,1192,1,5,2,3,460,4,1,61,3,2,4,4,0,6347,23177,7,0,16,3,3,2,8,2,2,6,2,0,4,3,2,2
38,0,2,343,1,15,2,1,461,3,1,92,2,3,5,4,0,11510,15682,0,1,14,3,2,1,12,3,3,11,10,2,9,0,0,2
31,0,2,1232,1,7,4,3,462,3,0,39,3,3,4,4,2,7143,25713,1,1,14,3,3,0,11,2,2,11,9,4,10,0,0,1
29,0,2,144,2,10,1,2,463,4,0,39,2,2,7,2,0,8268,11866,1,1,14,3,1,2,7,2,3,7,7,1,7,3,0,1
23,0,2,1309,1,26,1,1,465,3,1,83,3,1,6,4,0,2904,16092,1,0,12,3,3,2,4,2,2,4,2,0,2,2,1,0
41,0,2,483,1,6,3,3,466,4,1,95,2,2,4,2,2,6032,10110,6,1,15,3,4,0,8,3,3,5,4,1,2,2,2,2
47,0,1,1309,2,4,1,3,467,2,1,99,3,2,8,3,2,2976,25751,3,0,19,3,1,0,5,3,3,0,0,0,0,1,1,3
42,0,2,810,1,23,5,1,468,1,0,44,3,4,5,4,2,15992,15901,2,0,14,3,2,0,16,2,3,1,0,0,0,1,0,2
29,0,0,746,2,2,3,1,469,4,1,61,3,2,7,3,1,4649,16928,1,0,14,3,1,1,4,3,2,4,3,0,2,2,2,1
32,0,2,1062,1,2,3,3,471,3,0,75,3,1,2,2,1,2370,3956,1,0,13,3,3,1,8,4,3,8,0,0,7,3,1,1
30,0,0,641,2,25,2,5,475,4,0,85,3,2,7,3,1,4736,6069,7,1,12,3,2,1,4,2,4,2,2,2,2,1,2,1
21,1,1,756,2,1,1,5,478,1,0,99,2,1,8,2,2,2174,9150,1,1,11,3,3,0,3,3,3,3,2,1,2,2,1,0
57,0,2,593,1,1,4,3,482,4,1,88,3,2,0,3,1,6755,2967,2,0,11,3,3,0,15,2,3,3,2,1,2,2,0,3
40,0,2,1171,1,10,4,1,483,4,0,46,4,1,2,3,1,2213,22495,3,1,13,3,3,1,10,3,3,7,7,1,7,3,1,2
33,1,2,350,2,5,3,2,485,4,0,34,3,1,8,3,2,2851,9150,1,1,13,3,2,0,1,2,3,1,0,0,0,1,1,1
46,0,0,1144,1,7,4,3,487,3,0,30,3,2,4,3,1,5258,16044,2,0,14,3,3,0,7,2,4,1,0,0,0,1,2,3
50,0,2,1046,1,10,3,5,491,4,1,100,2,3,0,4,2,10496,2755,6,0,15,3,4,0,20,2,3,4,3,1,3,2,0,3
27,0,2,1469,1,1,2,3,497,4,1,82,3,1,2,2,0,3816,17881,1,0,11,3,2,1,5,2,3,5,2,0,4,2,2,1
28,0,2,304,2,9,4,1,498,2,1,92,3,2,7,4,2,5253,20750,1,0,16,3,4,0,7,1,3,7,5,0,7,3,2,1
51,0,2,1178,2,14,2,1,500,3,0,87,3,2,7,4,1,4936,14862,4,0,11,3,3,1,18,2,2,7,7,0,7,3,2,3
36,0,2,329,1,2,3,1,501,4,0,96,3,1,6,3,1,2543,11868,4,0,13,3,2,1,6,3,3,2,2,2,2,1,1,2
34,1,0,1362,2,19,3,2,502,1,1,67,4,2,7,4,2,5304,4652,8,1,13,3,2,0,9,3,2,5,2,0,4,2,2,1
24,0,2,1371,2,10,4,2,507,4,0,77,3,2,7,3,0,4260,5915,1,1,12,3,4,1,5,2,4,5,2,0,3,2,2,0
30,0,2,202,2,2,1,5,508,3,1,72,3,1,8,2,1,2476,17434,1,0,18,3,1,1,1,3,3,1,0,0,0,1,1,1
22,0,2,253,1,11,3,3,511,1,0,43,3,1,6,2,1,2244,24440,1,0,13,3,4,1,2,1,3,2,1,1,2,1,1,0
37,0,2,1305,1,10,4,1,518,3,1,49,3,2,4,2,2,4197,21123,2,1,12,3,4,0,18,2,2,1,0,0,1,1,2,2
43,0,2,1473,1,8,4,4,526,3,0,74,3,2,0,3,0,4522,2227,4,1,14,3,4,0,8,3,3,5,2,0,2,2,2,2
25,0,2,891,2,4,2,1,527,2,0,99,2,2,7,4,2,4487,12090,1,1,11,3,2,0,5,3,3,5,4,1,3,2,2,0
31,0,2,329,1,1,2,1,530,4,1,98,2,1,2,1,1,2218,16193,1,0,12,3,3,1,4,3,3,4,2,3,2,2,1,1
